crypto_id,symbol,date, open , high , low , close , adj_close , volume 
1,BTC-USD,"Jul 29, 2025",117938.59,119273.87,116987.37,117922.15,117922.15,68463107433
2,BTC-USD,"Jul 28, 2025",119457.52,119819.79,117441.44,117924.48,117924.48,64822943193
3,BTC-USD,"Jul 27, 2025",117944.73,119815.59,117859.69,119448.49,119448.49,54683390892
4,BTC-USD,"Jul 26, 2025",117644.84,118335.69,117181.23,117947.37,117947.37,48508954046
5,BTC-USD,"Jul 25, 2025",118368,118486.98,114759.82,117635.88,117635.88,104857000000
6,BTC-USD,"Jul 24, 2025",118770.98,119535.45,117247.97,118368,118368,72627318560
7,BTC-USD,"Jul 23, 2025",119997.45,120113.35,117391.39,118754.96,118754.96,66608604537
8,BTC-USD,"Jul 22, 2025",117426.5,120269.97,116233.23,119995.41,119995.41,79217583118
9,BTC-USD,"Jul 21, 2025",117306.47,119671.56,116584.4,117439.54,117439.54,69820091744
10,BTC-USD,"Jul 20, 2025",117944.11,118865.03,116550.13,117300.79,117300.79,57515447231
11,BTC-USD,"Jul 19, 2025",117998.13,118541.4,117388.41,117939.98,117939.98,47564562765
12,BTC-USD,"Jul 18, 2025",119284.11,120851.91,116925.98,118003.23,118003.23,77945799785
13,BTC-USD,"Jul 17, 2025",118738.51,120999.61,117508.22,119289.84,119289.84,72363841798
14,BTC-USD,"Jul 16, 2025",117777.19,120065.52,117064.82,118738.51,118738.51,72162029070
15,BTC-USD,"Jul 15, 2025",119853.85,119935.56,115765.69,117777.19,117777.19,98321661181
16,BTC-USD,"Jul 14, 2025",119115.79,123091.61,118959.2,119849.7,119849.7,181746000000
17,BTC-USD,"Jul 13, 2025",117432.2,119449.57,117265.44,119116.12,119116.12,49021091807
18,BTC-USD,"Jul 12, 2025",117530.71,118219.9,116977.02,117435.23,117435.23,45524560304
19,BTC-USD,"Jul 11, 2025",115986.23,118856.48,115245.69,117516.99,117516.99,86928361085
20,BTC-USD,"Jul 10, 2025",111329.2,116608.78,110660.75,115987.2,115987.2,95911605728
21,BTC-USD,"Jul 9, 2025",108950.27,111925.38,108357.68,111326.55,111326.55,57927418065
