stock_id,symbol,date, open , high , low , close , adj_close , volume 
1,ULTRACEMCO.NS,"Jul 30, 2025",12205,12381,12201,12268,12268,185681
2,ULTRACEMCO.NS,"Jul 29, 2025",12200,12262,12122,12221,12221,208446
3,ULTRACEMCO.NS,"Jul 28, 2025",12274,12368,12210,12240,12240,214107
4,ULTRACEMCO.NS,"Jul 25, 2025",12245,12345,12193,12250,12250,290381
5,ULTRACEMCO.NS,"Jul 24, 2025",12372,12399,12230,12304,12226.5,180080
6,ULTRACEMCO.NS,"Jul 23, 2025",12460,12515,12358,12372,12294.07,189617
7,ULTRACEMCO.NS,"Jul 22, 2025",12649,12699,12295,12452,12373.57,533617
8,ULTRACEMCO.NS,"Jul 21, 2025",12560,12714,12374,12577,12497.78,512521
9,ULTRACEMCO.NS,"Jul 18, 2025",12520,12558,12441,12498,12419.28,98339
10,ULTRACEMCO.NS,"Jul 17, 2025",12465,12548,12432,12495,12416.3,166142
11,ULTRACEMCO.NS,"Jul 16, 2025",12504,12515,12398,12453,12374.56,156311
12,ULTRACEMCO.NS,"Jul 15, 2025",12545,12545,12425,12502,12423.25,154124
13,ULTRACEMCO.NS,"Jul 14, 2025",12495,12579,12430,12516,12437.16,278918
14,ULTRACEMCO.NS,"Jul 11, 2025",12516,12637,12452,12495,12416.3,240034
15,ULTRACEMCO.NS,"Jul 10, 2025",12518,12667,12482,12516,12437.16,269323
16,ULTRACEMCO.NS,"Jul 9, 2025",12410,12580,12376,12562,12482.88,379924
17,ULTRACEMCO.NS,"Jul 8, 2025",12345,12495,12305,12445,12366.61,219226
18,ULTRACEMCO.NS,"Jul 7, 2025",12476,12500,12306,12345,12267.24,149939
19,ULTRACEMCO.NS,"Jul 4, 2025",12400,12542,12341,12506,12427.23,191516
20,ULTRACEMCO.NS,"Jul 3, 2025",12436,12575,12376,12398,12319.91,275755
21,ULTRACEMCO.NS,"Jul 2, 2025",12210,12527,12170,12436,12357.67,445829
22,ULTRACEMCO.NS,"Jul 1, 2025",12105,12225,12060,12210,12133.09,207437
23,ULTRACEMCO.NS,"Jun 30, 2025",12215,12271,12018,12093,12016.83,333104
24,ULTRACEMCO.NS,"Jun 27, 2025",11980,12246,11917,12213,12136.07,501287
25,ULTRACEMCO.NS,"Jun 26, 2025",11690,11986,11681,11951,11875.72,506580
26,ULTRACEMCO.NS,"Jun 25, 2025",11635,11771,11634,11733,11659.1,253134
27,ULTRACEMCO.NS,"Jun 24, 2025",11559,11824,11514,11579,11506.07,735700
28,ULTRACEMCO.NS,"Jun 23, 2025",11401,11490,11321,11449,11376.89,304907
29,ULTRACEMCO.NS,"Jun 20, 2025",11420,11525,11370,11458,11385.83,629895
30,ULTRACEMCO.NS,"Jun 19, 2025",11400,11485,11353,11420,11348.07,157757
31,ULTRACEMCO.NS,"Jun 18, 2025",11383,11479,11343,11406,11334.16,156816
32,ULTRACEMCO.NS,"Jun 17, 2025",11500,11509,11360,11383,11311.3,121415
33,ULTRACEMCO.NS,"Jun 16, 2025",11270,11518,11197,11495,11422.6,401104
34,ULTRACEMCO.NS,"Jun 13, 2025",11111,11250,11018,11224,11153.3,181355
35,ULTRACEMCO.NS,"Jun 12, 2025",11475,11505,11280,11323,11251.68,262530
36,ULTRACEMCO.NS,"Jun 11, 2025",11380,11518,11340,11464,11391.79,237747
37,ULTRACEMCO.NS,"Jun 10, 2025",11410,11484,11335,11391,11319.25,279918
38,ULTRACEMCO.NS,"Jun 9, 2025",11260,11318,11166,11260,11189.08,209231
39,ULTRACEMCO.NS,"Jun 6, 2025",11180,11311,11120,11253,11182.12,143723
40,ULTRACEMCO.NS,"Jun 5, 2025",11038,11180,11003,11159,11088.71,191183
41,ULTRACEMCO.NS,"Jun 4, 2025",11040,11055,10920,11033,10963.51,345047
42,ULTRACEMCO.NS,"Jun 3, 2025",11280,11292,11000,11035,10965.49,349615
43,ULTRACEMCO.NS,"Jun 2, 2025",11180,11219,11019,11195,11124.49,314936
44,ULTRACEMCO.NS,"May 30, 2025",11265,11310,11170,11210,11139.39,394181
45,ULTRACEMCO.NS,"May 29, 2025",11249,11337,11151,11269,11198.02,350206
46,ULTRACEMCO.NS,"May 28, 2025",11455,11470,11200,11238,11167.21,201200
47,ULTRACEMCO.NS,"May 27, 2025",11676,11722,11375,11421,11349.06,478345
48,ULTRACEMCO.NS,"May 26, 2025",11800,11884,11645,11689,11615.37,198003
49,ULTRACEMCO.NS,"May 23, 2025",11727,11875,11661,11746,11672.01,181463
50,ULTRACEMCO.NS,"May 22, 2025",11666,11700,11517,11680,11606.43,175370
51,ULTRACEMCO.NS,"May 21, 2025",11697,11910,11634,11666,11592.52,173017
52,ULTRACEMCO.NS,"May 20, 2025",11969,11980,11669,11697,11623.32,158934
53,ULTRACEMCO.NS,"May 19, 2025",11904,11991,11880,11929,11853.86,128237
54,ULTRACEMCO.NS,"May 16, 2025",11950,11990,11857,11905,11830.01,209706
55,ULTRACEMCO.NS,"May 15, 2025",11672,11932,11643,11894,11819.08,371371
56,ULTRACEMCO.NS,"May 14, 2025",11676,11741,11624,11672,11598.48,179337
57,ULTRACEMCO.NS,"May 13, 2025",11700,11748,11566,11661,11587.55,307678
58,ULTRACEMCO.NS,"May 12, 2025",11590,11767,11565,11736,11662.08,182795
59,ULTRACEMCO.NS,"May 9, 2025",11480,11558,11313,11364,11292.42,200270
60,ULTRACEMCO.NS,"May 8, 2025",11601,11740,11539,11631,11557.74,388912
61,ULTRACEMCO.NS,"May 7, 2025",11651,11700,11553,11658,11584.57,217460
